"","CirID","nivel","nombre","direccion"
"1","1","TRIBUNALES COLEGIADOS","PRIMER TRIBUNAL COLEGIADO  EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE A, PISOS 2DO Y 3RO COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"2","1","TRIBUNALES UNITARIOS","SEGUNDO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE A, PISOS 3∞ Y 4∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"3","1","CENTRO DE JUSTICIA PENAL FEDERAL","TERCER TRIBUNAL COLEGIADO  EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE C, PISO 1∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"4","1","JUZGADOS DE DISTRITO","CUARTO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCI”N NO. 1508, TORRE C, PISO 2∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"5","1","TRIBUNALES COLEGIADOS","QUINTO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE C, PISO 3∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"6","1","TRIBUNALES UNITARIOS","SEXTO TRIBUNAL COLEGIADO  EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE C, PISO 4∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"7","1","CENTRO DE JUSTICIA PENAL FEDERAL","SEPTIMO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE B, PISO 1∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"8","1","JUZGADOS DE DISTRITO","OCTAVO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE B, PISO 2∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"9","1","TRIBUNALES COLEGIADOS","NOVENO TRIBUNAL COLEGIADO   EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","REVOLUCION NO. 1508, TORRE B, PISO 3∞ COL. GUADALUPE INN DELEG. ALVARO OBREGON CIUDAD DE M…XICO 01020"
"10","1","TRIBUNALES UNITARIOS","D…CIMO TRIBUNAL COLEGIADO  EN MATERIA PENAL DEL PRIMER CIRCUITO (CIUDAD DE M…XICO)","AV. REVOLUCI”N 1508, TORRE B, PISO 4∞ GUADALUPE INN M…XICO 01020"
